Model,Prompting,Keyword,Budget,AIME 2025,MATH500,MMLU Pro-1K,SuperGPQA-1K
Qwen2.5 7B Instruct,Zero-shot,,,20,69,30.3,18.1
Qwen2.5 7B Instruct,CoT,,,23.33,68,12,6.7
Qwen2.5 7B Instruct,CoT+BF,Wait,256,20,41.2,43.5,24.9
Qwen2.5 7B Instruct,CoT+BF,Wait,512,6.67,55.8,46.7,26.1
Qwen2.5 7B Instruct,CoT+BF,Wait,1024,26.67,64.4,50.2,26.3
Qwen2.5 7B Instruct,CoT+BF,Wait,2048,20,65.6,48.6,28.5
Qwen2.5 7B Instruct,CoT+BF,Wait,4096,20,64.4,48.4,28.3
Qwen2.5 7B Instruct,CoT+BF,Wait,8192,20,61,48.7,27.4
Qwen2.5 7B Instruct,CoT+BF,Perhaps,8192,23.33,64,49.9,27.4
Qwen2.5 7B Instruct,CoT+BF,Let,8192,26.67,66.4,49.5,27.6
RFT,CoT,,,20,69.4,9.8,6.7
RFT,CoT+BF,Wait,256,16.67,41.2,36.9,24.3
RFT,CoT+BF,Wait,512,16.67,56.4,40.7,27.8
RFT,CoT+BF,Wait,1024,26.67,63.2,44.9,27.8
RFT,CoT+BF,Wait,2048,20,64.6,46.3,26.8
RFT,CoT+BF,Wait,4096,16.67,65.2,45.9,27.4
RFT,CoT+BF,Wait,8192,23.33,63.8,45.2,27.8
RFT,CoT+BF,Perhaps,8192,16.67,66,44.5,27.1
RFT,CoT+BF,Let,8192,33.33,65.6,42.5,25.9
simplescaling/s1.1-7B,Zero-shot,,,20,73.6,40.2,17.4
simplescaling/s1.1-7B,CoT+BF,Wait,256,16.67,63,53.1,28.8
simplescaling/s1.1-7B,CoT+BF,Wait,512,30,66.8,54.2,26.8
simplescaling/s1.1-7B,CoT+BF,Wait,1024,20,69.8,57.5,30.2
simplescaling/s1.1-7B,CoT+BF,Wait,2048,13.33,70.6,60,30.6
simplescaling/s1.1-7B,CoT+BF,Wait,4096,26.67,74.8,59.8,30.7
simplescaling/s1.1-7B,CoT+BF,Wait,8192,23.33,74.2,62.1,33.4
simplescaling/s1.1-7B,CoT+BF,Perhaps,8192,33.33,73.8,61.4,32.3
simplescaling/s1.1-7B,CoT+BF,Let,8192,16.67,76.2,61.3,32.1
open-thoughts/OpenThinker3-7B,Zero-shot,,,26.67,81,51.4,24.6
